date,CG-OPEN,CG-CLOSE,CON-OPEN,CON-CLOSE
9/13/2015,602033,603209,1247046,1249899
9/14/2015,603209,609076,1250237,1260424
9/15/2015,609076,614796,1260866,1270450
9/16/2015,614796,620408,1270795,1280758
9/17/2015,620408,625649,1281235,1290698
9/18/2015,625649,628646,1290871,1295254
9/19/2015,628646,629260,1295254,1296562
9/20/2015,629260,630394,1296562,1299333
9/21/2015,630394,635745,1299637,1309154
9/22/2015,635745,641084,1309506,1318558
9/23/2015,641084,646474,1318912,1327978
9/24/2015,646474,651354,1328325,1336309
9/25/2015,651354,653994,1336490,1341334
9/26/2015,653994,654664,1341334,1342674
9/27/2015,654664,655836,1342674,1345552
9/28/2015,655836,661279,1345832,1355322
9/29/2015,661279,666761,1355708,1365188
9/30/2015,666761,672374,1365513,1375331
10/1/2015,672374,677448,1375857,1384356
10/2/2015,677448,680100,1384583,1389378
10/3/2015,680100,680705,1389378,1390902
10/4/2015,680705,682013,1390902,1394277
10/5/2015,682013,687698,1394634,1404597
10/6/2015,687698,693673,1405135,1414842
10/7/2015,693673,699280,1415346,1424784
10/8/2015,699280,704353,1425269,1433613
10/9/2015,704353,706850,1433894,1437728
10/10/2015,706850,707080,1437728,1438165
10/11/2015,707080,707389,1438165,1438698
10/12/2015,707389,708056,1438698,1439897
10/13/2015,708056,709279,1439897,1442420
10/14/2015,709279,714565,1442630,1451927
10/15/2015,714565,719487,1452430,1460767
10/16/2015,719487,722280,1461037,1465882
10/17/2015,722280,722948,1465882,1467320
10/18/2015,722948,724073,1467320,1470406
10/19/2015,724073,729852,1470706,1480206
10/20/2015,729852,735385,1480627,1489942
10/21/2015,735385,740999,1490366,1499800
10/22/2015,740999,745947,1500154,1508297
10/23/2015,745947,748673,1508509,1513216
10/24/2015,748673,749398,1513216,1514457
10/25/2015,749398,750478,1514457,1517280
10/26/2015,750478,756232,1517605,1527698
10/27/2015,756232,761986,1528054,1538032
10/28/2015,761986,767529,1538457,1548366
10/29/2015,767529,772720,1548872,1557410
10/30/2015,772720,775489,1557771,1562440
10/31/2015,775489,776008,1562440,1563534
11/1/2015,776008,777107,1563534,1566432
11/2/2015,777107,782178,1566831,1576462
11/3/2015,782178,787910,1576882,1586672
11/4/2015,787910,793391,1587201,1596588
11/5/2015,793391,798542,1597142,1605688
11/6/2015,798542,801194,1606112,1610847
11/7/2015,801194,801804,1610847,1612357
11/8/2015,801804,803133,1612357,1615665
11/9/2015,803133,808592,1616089,1626014
11/10/2015,808592,814082,1626544,1635674
11/11/2015,814082,819506,1636098,1645888
11/12/2015,819506,824752,1646349,1655068
11/13/2015,824752,827782,1655414,1660766
11/14/2015,827782,828648,1660766,1662498
11/15/2015,828648,829916,1662498,1666027
11/16/2015,829916,835747,1666322,1676480
11/17/2015,835747,841424,1676911,1686738
11/18/2015,841424,847452,1687258,1697528
11/19/2015,847452,852706,1698097,1707074
11/20/2015,852706,856095,1707407,1713204
11/21/2015,856095,857115,1713204,1715273
11/22/2015,857115,858707,1715273,1719171
11/23/2015,858707,864597,1719642,1730200
11/24/2015,864597,868885,1730783,1737418
11/25/2015,868885,869368,1737418,1738456
11/26/2015,,,,
11/27/2015,,,,
11/28/2015,869368,869644,1738456,1738953
11/29/2015,869644,870796,1738953,1741563
11/30/2015,870796,876211,1742077,1751960
12/1/2015,876211,880278,1752383,1761200
12/2/2015,880278,884558,1762140,1770966
12/3/2015,884558,888342,1771827,1779450
12/4/2015,888342,890892,1779965,1785046
12/5/2015,890892,892007,1785046,1787962
12/6/2015,892007,893316,1787962,1791301
12/7/2015,893316,896578,1791811,1798280
12/8/2015,896578,898656,1798571,1802646
12/9/2015,898656,899522,1802727,1804726
12/10/2015,899522,900134,1804726,1805936
12/11/2015,900134,900641,1805936,1806851
12/12/2015,,,,
12/13/2015,,,,
12/14/2015,900641,901170,1806851,1807822
12/15/2015,901170,901796,1807822,1808780
12/16/2015,901796,902279,1808780,1809778
12/17/2015,902279,902586,1809778,1810622
12/18/2015,902586,902948,1810622,1811404
12/19/2015,,,,
12/20/2015,,,,
12/21/2015,902948,903344,1811404,1812120
12/22/2015,903344,903606,1812120,1812704
12/23/2015,903606,903787,1812704,1813176
12/24/2015,,,,
12/25/2015,,,,
12/26/2015,,,,
12/27/2015,,,,
12/28/2015,,,,
12/29/2015,,,,
12/30/2015,,,,
12/31/2015,,,,
1/1/2016,,,,
1/2/2016,,,,
1/3/2016,,,,
1/4/2016,903787,904384,1813176,1814321
1/5/2016,904384,904886,1814321,1815310
1/6/2016,904886,905409,1815310,1816503
1/7/2016,905409,906066,1816503,1817978
1/8/2016,906066,906771,1817978,1819544
1/9/2016,906771,907082,1819544,1820238
1/10/2016,907082,907880,1820238,1821830
1/11/2016,907880,913094,1821912,1830550
1/12/2016,913094,918283,1830629,1839056
1/13/2016,918283,923254,1839166,1847564
1/14/2016,923254,927639,1847715,1855188
1/15/2016,927639,930126,1855304,1859630
1/16/2016,930126,930537,1859630,1860489
1/17/2016,930537,930926,1860489,1861336
1/18/2016,,,,
1/19/2016,930926,936216,1861336,1870632
